id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459796.7769357427,3984821.373834889,85
3,2459994.466567704,3984591.537067036,170
4,2460121.3100147983,3985526.56095178,255
5,2460417.9458386414,3983694.682529945,340
6,2460638.0342815854,3983757.9992546863,425
7,2460928.1952514783,3983236.109088348,510
8,2461142.33387537,3983056.561081525,595
9,2461075.083473155,3985436.3298579366,680
10,2461276.536677628,3984153.131912504,765
11,2461310.667537623,3985965.130448881,850
12,2461532.740485243,3984281.043854926,935
13,2461562.293728388,3986031.55574877,1020
14,2461647.422501073,3983681.669506621,1105
15,2461745.7502577426,3984508.8446298577,1190
16,2461726.2493868084,3985999.974379737,1275
17,2461822.3262775084,3983919.6666627736,1360
18,2461937.9525274886,3984768.064724171,1445
19,2461931.0401980258,3986064.735425589,1530
20,2462175.202198488,3984016.661155277,1615
21,2462333.6682730955,3983331.1061172015,1700
22,2462210.937476137,3984573.3437827295,1785
23,2462415.5242886366,3983444.658531224,1870
24,2462413.859562837,3984578.6737218914,1955
25,2462628.207326302,3983494.408498326,2040
26,2462780.172349465,3984833.1036824496,2125
27,2462824.5745468577,3983698.91952608,2210
28,2462990.4654446016,3985372.3063307423,2295
29,2463000.105887968,3985186.2279165033,2380
30,2463443.3858637214,3984393.332415985,2465
31,2463892.648793174,3983424.7254345017,2550
