Commande,Maison,Heure,idMaisonReel,Weight
1,1,12:23:34,0,1.6
2,2,17:52:49,42,1.5
3,3,21:03:47,84,1.1
4,3,12:44:04,84,0.5
5,4,22:06:45,126,1.8
6,4,09:57:05,126,0.8
7,5,17:15:15,168,1.3
8,6,14:57:25,210,0.6
9,6,11:30:49,210,0.8
10,6,17:00:42,210,1.3
11,7,13:35:57,252,1.4
12,8,16:48:05,294,0.7
13,8,07:36:15,294,1.0
14,9,13:48:55,336,0.5
15,9,15:46:41,336,1.6
16,9,18:46:03,336,1.4
17,10,12:12:01,378,1.9
18,10,12:50:34,378,1.9
19,10,23:32:02,378,1.9
20,11,18:39:15,420,0.8
21,12,17:12:32,462,0.2
22,12,09:04:07,462,0.9
23,12,16:06:03,462,0.4
24,13,19:26:29,504,0.1
25,13,11:01:46,504,0.7
26,13,10:20:37,504,1.2
27,14,12:31:13,546,1.0
28,16,16:34:01,630,1.0
29,16,22:30:15,630,0.1
30,16,22:00:14,630,0.8
31,19,09:59:56,756,0.5
32,19,13:31:02,756,1.6
33,23,15:10:03,924,0.3
34,24,16:16:00,966,0.3
35,24,12:12:57,966,0.7
36,24,23:02:12,966,0.7
37,25,20:11:19,1008,1.7
38,25,11:06:59,1008,0.5
39,26,18:51:50,1050,0.4
40,27,22:31:19,1092,1.4
41,28,21:15:56,1134,0.7
42,28,13:27:14,1134,1.3
43,30,18:27:00,1218,1.5
44,30,20:52:41,1218,1.4
45,31,10:35:27,1260,0.2
46,31,23:17:56,1260,1.6
47,32,06:47:22,1302,1.7
48,34,20:35:46,1386,1.5
49,34,09:19:52,1386,0.8
50,36,23:31:31,1470,0.6
51,37,11:29:21,1512,0.1
52,37,08:28:52,1512,0.4
53,40,10:22:56,1638,0.5
54,41,15:59:25,1680,0.9
55,41,17:24:39,1680,0.9
56,41,11:51:03,1680,0.5
57,43,13:02:20,1764,1.8
58,43,09:01:47,1764,0.5
59,44,16:30:57,1806,1.2
60,45,14:05:33,1848,1.7
61,45,20:00:33,1848,1.9
62,47,11:46:48,1932,0.8
63,47,22:04:05,1932,0.5
64,47,14:12:29,1932,1.4
65,48,11:15:19,1974,0.6
66,48,11:13:11,1974,0.5
67,49,18:28:00,2016,1.3
68,49,13:01:56,2016,1.4
69,50,13:58:13,2058,0.5
70,50,08:51:47,2058,0.9
71,51,07:26:13,2100,0.8
72,51,19:22:04,2100,0.4
73,51,11:30:50,2100,0.2
74,52,07:29:36,2142,1.8
75,52,16:46:49,2142,0.7
76,52,11:45:43,2142,0.8
77,53,19:29:42,2184,1.5
78,53,09:11:05,2184,0.7
79,54,12:51:31,2226,0.5
80,54,22:22:03,2226,0.5
81,54,19:52:09,2226,0.7
82,55,09:44:50,2268,1.3
83,55,18:17:03,2268,1.1
84,55,12:34:24,2268,1.2
85,56,19:59:09,2310,1.2
86,58,11:25:02,2394,1.5
87,58,16:58:50,2394,1.4
88,59,13:34:54,2436,1.8
89,59,15:08:44,2436,0.9
90,61,19:45:50,2520,0.7
91,61,19:39:02,2520,1.6
92,61,02:54:08,2520,1.0
