id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459445.3787126825,3985236.0076200254,28
3,2459733.48439168,3983866.45547103,56
4,2459627.2833660087,3984811.305906111,84
5,2459655.5233656466,3985135.3388869,112
6,2459844.568933297,3983335.33642305,140
7,2459894.7845642576,3984429.775619871,168
8,2460046.6693784166,3984230.988333938,196
9,2460127.806181784,3984741.74652795,224
10,2460040.83419878,3985326.975234039,252
11,2460249.4541148245,3984505.52745477,280
12,2460334.344473338,3985013.416848505,308
13,2460438.6204884155,3983710.497902668,336
14,2460442.106848443,3984679.7917015166,364
15,2460410.322903049,3985448.469021946,392
16,2460707.109512552,3983447.626971054,420
17,2460740.510220324,3984290.4875134514,448
18,2460734.356924278,3985417.502579248,476
19,2460973.2158356234,3982995.605331625,504
20,2460874.629849655,3983741.471193628,532
21,2460930.08219953,3984780.7962553743,560
22,2460894.2177948877,3986051.846030045,588
23,2461152.856825563,3983408.803278013,616
24,2461023.3890325543,3984798.047702935,644
25,2461008.861423416,3985364.6900813114,672
26,2461153.050940758,3985944.7062568,700
27,2461245.395667803,3983466.584591129,728
28,2461377.0570535664,3983919.6316830274,756
29,2461282.551478416,3984588.739192993,784
30,2461309.654310965,3985146.077776151,812
31,2461280.64624596,3985475.360920414,840
32,2461302.037478969,3986543.7891525584,868
33,2461495.541937644,3983561.77454642,896
34,2461580.6093938285,3983964.875953425,924
35,2461426.607302686,3984613.333396913,952
36,2461530.354407206,3985178.4384294166,980
37,2461457.7102527665,3985924.2556033344,1008
38,2461701.964014454,3983166.9693596503,1036
39,2461605.0094753164,3983376.2288594088,1064
40,2461703.620542436,3983423.452199484,1092
41,2461696.1013762592,3983839.5614204495,1120
42,2461668.5692459247,3984077.736581686,1148
43,2461604.3890025923,3984455.558011389,1176
44,2461791.503182628,3984786.740605527,1204
45,2461736.1194582228,3985020.092342891,1232
46,2461771.307582916,3985545.9679471166,1260
47,2461625.8685033736,3986064.693079326,1288
48,2461925.2834318,3983280.3816200113,1316
49,2461870.3399912696,3983622.241602866,1344
50,2461990.983188265,3983824.924805907,1372
51,2461971.114819113,3984231.2033903818,1400
52,2461988.0739164585,3984796.5084095662,1428
53,2461895.9176258,3984989.1824429,1456
54,2461958.982171686,3985387.170100392,1484
55,2461845.441450158,3985664.590858097,1512
56,2461855.1194607406,3986226.224591458,1540
57,2462016.485087732,3983559.006250923,1568
58,2462024.358482143,3983930.769685923,1596
59,2462129.308524746,3984251.095054019,1624
60,2462087.1699839337,3984974.953045356,1652
61,2462191.211145429,3986172.111083373,1680
62,2462256.1353351157,3983587.1643467834,1708
63,2462391.940898433,3983902.816951463,1736
64,2462312.038714031,3984364.009022812,1764
65,2462366.542117801,3984416.7922633206,1792
66,2462290.3397228266,3985088.802625617,1820
67,2462417.882667582,3983069.431329138,1848
68,2462571.658213569,3983571.097294768,1876
69,2462571.6722025466,3983905.357400348,1904
70,2462470.067210178,3984347.210771469,1932
71,2462452.322031674,3984444.256449685,1960
72,2462474.507446044,3985135.359362743,1988
73,2462770.4386376697,3983224.604371451,2016
74,2462605.4677799754,3983773.18669872,2044
75,2462688.132183717,3984021.419286773,2072
76,2462709.457956769,3984552.95707184,2100
77,2462642.788411161,3985185.173577616,2128
78,2462784.838337825,3985607.0633181385,2156
79,2462830.6861891,3983434.55236414,2184
80,2462872.1172904084,3984152.682503168,2212
81,2462870.59002834,3984573.5880304906,2240
82,2462889.123825596,3984914.539824625,2268
83,2462839.50745266,3985250.74081355,2296
84,2463077.557085533,3983446.261739865,2324
85,2463031.1732644704,3984006.789211919,2352
86,2463000.105887968,3985186.2279165033,2380
87,2463178.563046395,3985613.255866492,2408
88,2463230.544988236,3985042.7049965127,2436
89,2463503.297180146,3984105.070233763,2464
90,2463402.360192068,3985741.5347403055,2492
91,2463771.3065833705,3983862.6169019775,2520
92,2463662.4163561724,3985854.3890800015,2548
