Commande,Maison,Heure,idMaisonReel,Weight
1,1,17:27:15,0,1.7
2,1,15:28:55,0,0.2
3,2,17:27:46,36,1.4
4,2,18:16:01,36,1.7
5,2,15:17:10,36,1.1
6,3,12:20:31,72,1.5
7,3,14:48:46,72,1.3
8,3,10:34:59,72,0.7
9,5,15:20:34,144,0.3
10,5,11:19:30,144,1.8
11,6,17:17:13,180,1.0
12,6,15:59:21,180,1.5
13,7,16:27:00,216,1.9
14,9,23:58:53,288,0.5
15,10,10:57:50,324,0.2
16,10,18:28:09,324,0.8
17,11,13:45:28,360,1.8
18,11,10:30:03,360,1.8
19,12,09:54:32,396,0.4
20,13,21:26:26,432,1.5
21,13,19:56:22,432,0.1
22,13,17:32:52,432,0.4
23,14,21:34:54,468,1.4
24,14,22:15:24,468,1.2
25,14,09:42:27,468,1.8
26,15,16:34:39,504,1.3
27,15,00:11:33,504,1.7
28,15,16:30:17,504,1.3
29,16,20:11:59,540,0.6
30,16,17:17:28,540,1.7
31,17,15:31:29,576,1.0
32,17,06:47:08,576,1.1
33,18,17:15:00,612,0.2
34,18,17:48:43,612,0.1
35,19,10:40:53,648,1.2
36,19,10:24:37,648,0.6
37,21,16:44:05,720,0.6
38,21,10:23:19,720,1.6
39,22,16:21:00,756,1.4
40,22,08:56:32,756,1.0
41,22,18:38:47,756,0.8
42,24,12:34:32,828,1.0
43,24,21:40:06,828,0.7
44,24,16:00:07,828,1.9
45,25,15:48:57,864,0.4
46,25,17:57:28,864,0.8
47,25,01:54:49,864,1.7
48,26,11:23:20,900,0.2
49,26,15:00:17,900,1.7
50,28,21:20:34,972,1.4
51,28,11:22:59,972,1.2
52,28,11:18:11,972,0.1
53,30,08:50:04,1044,1.8
54,30,11:43:45,1044,1.2
55,38,09:41:54,1332,1.4
56,39,12:10:26,1368,1.5
57,39,09:10:30,1368,1.4
58,39,15:31:59,1368,0.8
59,40,11:56:36,1404,1.4
60,40,18:29:44,1404,1.2
61,41,11:11:55,1440,0.7
62,41,22:05:48,1440,1.8
63,41,18:37:38,1440,0.1
64,42,18:11:53,1476,0.7
65,42,03:08:47,1476,0.8
66,42,09:11:01,1476,1.8
67,44,15:38:16,1548,1.3
68,46,22:58:00,1620,1.2
69,46,22:38:51,1620,0.4
70,46,10:59:39,1620,0.6
71,47,21:21:34,1656,0.2
72,47,18:40:56,1656,1.3
73,49,08:53:32,1728,0.8
74,50,17:36:57,1764,1.8
75,51,21:51:32,1800,1.4
76,53,23:50:26,1872,0.6
77,54,12:42:55,1908,0.7
78,54,20:51:16,1908,0.2
79,55,12:07:41,1944,1.0
80,55,21:15:13,1944,1.0
81,55,22:40:10,1944,0.8
82,56,17:05:50,1980,2.0
83,56,11:58:40,1980,1.1
84,56,14:43:04,1980,0.5
85,57,17:13:15,2016,1.6
86,58,12:15:45,2052,0.6
87,58,13:27:59,2052,1.4
88,58,18:59:48,2052,1.5
89,59,19:02:48,2088,0.4
90,59,15:17:06,2088,1.6
91,59,14:29:35,2088,0.8
92,60,16:23:42,2124,1.2
93,60,18:15:47,2124,1.4
94,61,11:35:14,2160,1.9
95,61,19:11:53,2160,0.5
96,61,23:31:54,2160,1.4
97,62,20:17:17,2196,1.3
98,62,12:35:02,2196,1.0
99,64,09:36:18,2268,0.5
100,64,12:45:58,2268,1.3
101,64,15:01:55,2268,1.0
102,65,16:05:42,2304,1.3
103,66,11:30:13,2340,1.5
104,66,10:11:31,2340,1.5
105,67,14:23:44,2376,1.7
106,67,20:46:24,2376,0.2
107,67,14:01:43,2376,1.3
108,68,23:16:49,2412,1.3
109,68,08:55:02,2412,0.6
110,70,09:19:25,2484,1.6
111,72,13:49:47,2556,1.1
