Commande,Maison,Heure,idMaisonReel,Weight
1,1,22:29:40,0,0.4
2,1,14:03:07,0,1.4
3,1,08:20:03,0,0.4
4,2,14:43:57,51,1.0
5,2,11:09:14,51,0.9
6,3,15:26:36,102,0.4
7,3,18:18:33,102,1.8
8,3,18:58:12,102,1.9
9,5,18:04:30,204,1.9
10,7,21:06:10,306,0.5
11,8,09:45:32,357,0.6
12,9,21:43:57,408,0.9
13,9,10:43:53,408,0.2
14,9,03:39:55,408,0.3
15,10,11:34:18,459,0.2
16,11,20:33:04,510,1.2
17,11,22:27:19,510,0.5
18,11,13:17:02,510,0.3
19,12,21:48:10,561,0.3
20,13,12:40:29,612,0.7
21,14,09:23:59,663,1.6
22,15,09:15:47,714,1.5
23,15,16:19:09,714,0.3
24,22,22:37:12,1071,0.6
25,22,22:01:13,1071,1.9
26,22,15:06:38,1071,1.9
27,24,08:26:32,1173,1.1
28,25,14:28:44,1224,0.8
29,27,13:44:33,1326,1.5
30,27,09:55:28,1326,1.0
31,28,20:04:14,1377,1.7
32,28,12:20:44,1377,1.1
33,28,10:58:59,1377,1.4
34,29,14:47:27,1428,1.1
35,29,19:14:56,1428,0.4
36,29,19:06:52,1428,0.3
37,30,14:04:57,1479,1.2
38,30,13:22:41,1479,1.4
39,30,22:20:56,1479,1.2
40,31,21:14:46,1530,0.3
41,31,16:55:03,1530,0.7
42,33,19:19:34,1632,1.0
43,33,00:08:58,1632,0.6
44,33,23:52:29,1632,1.6
45,34,14:43:13,1683,1.9
46,35,17:52:36,1734,0.9
47,35,15:25:44,1734,0.2
48,36,19:12:32,1785,1.8
49,36,17:46:00,1785,1.5
50,36,22:07:12,1785,0.9
51,37,19:59:56,1836,0.3
52,37,19:14:21,1836,0.2
53,39,01:29:36,1938,0.6
54,39,09:17:52,1938,0.1
55,39,16:09:43,1938,1.3
56,41,15:35:03,2040,1.1
57,42,08:41:03,2091,0.4
58,42,19:24:23,2091,1.0
59,42,22:42:37,2091,0.7
60,43,15:13:13,2142,1.8
61,46,22:31:17,2295,1.6
62,46,22:24:11,2295,0.4
63,46,18:15:36,2295,1.6
64,47,13:02:47,2346,0.9
65,47,22:22:33,2346,1.8
66,48,19:13:53,2397,1.3
67,49,17:12:24,2448,0.2
68,49,13:51:29,2448,0.8
69,49,11:55:18,2448,1.1
70,50,13:00:26,2499,0.3
71,50,21:11:50,2499,0.6
72,51,14:04:58,2550,1.5
73,51,18:08:29,2550,1.4
