Commande,Maison,Heure,idMaisonReel,Weight
1,1,10:17:12,0,0.3
2,1,12:58:52,0,1.3
3,2,15:19:26,64,0.7
4,2,21:46:39,64,0.5
5,4,10:21:05,192,0.4
6,4,07:04:08,192,0.5
7,4,11:05:52,192,1.8
8,7,13:32:28,384,0.8
9,7,21:55:04,384,1.3
10,8,19:40:13,448,0.2
11,8,22:19:34,448,1.0
12,8,11:48:41,448,1.1
13,9,19:31:48,512,1.5
14,9,09:55:27,512,1.5
15,10,09:06:14,576,0.9
16,10,14:13:46,576,0.6
17,10,19:03:27,576,1.8
18,12,19:45:13,704,1.2
19,12,21:51:13,704,0.8
20,12,11:00:59,704,0.8
21,13,22:41:47,768,1.1
22,13,01:35:39,768,1.1
23,13,20:33:03,768,1.4
24,15,10:35:08,896,0.1
25,16,11:05:22,960,0.3
26,16,10:23:09,960,1.7
27,17,22:24:54,1024,1.7
28,18,18:40:36,1088,0.9
29,19,09:43:25,1152,1.4
30,19,11:38:08,1152,0.7
31,19,09:37:28,1152,0.8
32,20,15:58:36,1216,1.4
33,21,21:35:00,1280,1.4
34,22,13:25:58,1344,0.5
35,23,15:17:50,1408,1.3
36,23,20:30:52,1408,1.8
37,23,10:59:48,1408,0.4
38,24,21:52:29,1472,0.7
39,24,12:22:11,1472,0.4
40,24,18:23:31,1472,0.4
41,27,14:52:06,1664,1.5
42,27,20:27:44,1664,0.4
43,28,10:20:24,1728,1.9
44,28,20:16:39,1728,0.8
45,28,13:10:06,1728,0.6
46,29,15:33:46,1792,0.8
47,29,18:38:32,1792,0.3
48,29,16:49:44,1792,1.2
49,30,16:44:05,1856,0.8
50,30,11:41:28,1856,0.2
51,32,10:08:10,1984,1.0
52,32,19:46:23,1984,1.8
53,32,11:39:37,1984,1.3
54,33,22:12:16,2048,1.5
55,33,15:18:06,2048,1.8
56,33,19:51:43,2048,1.7
57,34,08:42:21,2112,1.0
58,34,18:34:13,2112,0.5
59,35,20:59:42,2176,1.9
60,35,17:15:13,2176,0.3
61,37,07:38:25,2304,0.7
62,37,19:27:57,2304,1.8
63,38,10:46:22,2368,1.4
64,38,18:21:38,2368,0.4
65,38,17:43:21,2368,1.1
