id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459409.6747387657,3985394.32718258,25
3,2459735.3971209237,3983221.498518521,50
4,2459727.9391524727,3984532.635427164,75
5,2459777.38979532,3985001.256421551,100
6,2459778.632736288,3985583.645355987,125
7,2459864.742183425,3984270.297455554,150
8,2459905.179853252,3984711.11281524,175
9,2460122.2750730976,3984359.1964927968,200
10,2460157.0581678385,3984750.2927419306,225
11,2460022.6928484263,3985186.679016239,250
12,2460371.317990779,3983602.499001336,275
13,2460341.677576698,3984698.1866284055,300
14,2460250.518313092,3985942.620768119,325
15,2460515.6493560937,3984047.755623775,350
16,2460464.776861157,3985224.122824897,375
17,2460473.7487525293,3985997.3150150273,400
18,2460638.0342815854,3983757.9992546863,425
19,2460774.1246340075,3984399.823658241,450
20,2460779.601907538,3985429.513431984,475
21,2460906.1117189936,3982872.490957629,500
22,2460848.7747731307,3983428.116501929,525
23,2460814.8525310787,3984410.171188129,550
24,2460817.054909789,3985791.4434531713,575
25,2461166.684967114,3983057.80172737,600
26,2461067.423220129,3983710.533410783,625
27,2461171.6566893994,3984811.1823450434,650
28,2461179.2198187867,3985222.897187205,675
29,2461153.050940758,3985944.7062568,700
30,2461306.114402459,3983388.334219908,725
31,2461356.297346726,3983776.5713972943,750
32,2461376.3419012176,3984470.087518275,775
33,2461232.531252813,3984871.673383868,800
34,2461387.1133425403,3985220.235079807,825
35,2461310.667537623,3985965.130448881,850
36,2461242.0400954285,3986456.605833803,875
37,2461532.841686256,3983648.416882129,900
38,2461548.5877930257,3983972.9138982175,925
39,2461516.7104584035,3984652.0931249,950
40,2461409.217026191,3984978.740319378,975
41,2461458.048175332,3985666.920327613,1000
42,2461411.6680111308,3986272.491768877,1025
43,2461713.198959703,3983036.633566386,1050
44,2461726.131769106,3983213.981677264,1075
45,2461644.1051090444,3983788.5249476153,1100
46,2461751.2355639297,3983989.65552218,1125
47,2461782.381983696,3984137.041604553,1150
48,2461645.650171262,3984438.254760237,1175
49,2461781.4588304427,3984640.0770102898,1200
50,2461748.09904091,3985148.64771986,1225
51,2461766.4423279893,3985362.982895152,1250
52,2461726.2493868084,3985999.974379737,1275
53,2461845.2797036986,3983193.651203857,1300
54,2461921.9691295056,3983461.268853224,1325
55,2461946.448850331,3983796.684402312,1350
56,2461818.0345012853,3983833.682034276,1375
57,2461971.114819113,3984231.2033903818,1400
58,2461828.190032936,3984651.439741613,1425
59,2461854.085832171,3984884.3714809753,1450
60,2461879.3618599875,3985199.9586507976,1475
61,2461838.308796532,3985545.380465208,1500
62,2461893.875532658,3986143.181227325,1525
63,2462156.00710411,3983155.801180695,1550
64,2462126.872577344,3983473.250792104,1575
65,2462022.4761176426,3984031.782006577,1600
66,2462110.430693608,3984206.086203569,1625
67,2462130.585391663,3984564.1837637,1650
68,2462149.6601861683,3985977.298160596,1675
69,2462333.6682730955,3983331.1061172015,1700
70,2462351.1224140795,3983635.9869813295,1725
71,2462253.031343996,3984083.082651984,1750
72,2462298.597690851,3984223.2230003513,1775
73,2462391.141264354,3984599.72888414,1800
74,2462360.721182459,3985136.5467484263,1825
75,2462459.420405574,3983095.315081067,1850
76,2462522.5059299115,3983531.80615966,1875
77,2462535.490494712,3983954.229536462,1900
78,2462521.6958783413,3984061.977081581,1925
79,2462439.256225327,3984359.2275284138,1950
80,2462476.549350428,3984981.7195787737,1975
81,2462587.8781486237,3985549.548032816,2000
82,2462715.450935248,3983415.204817778,2025
83,2462653.792166102,3983745.436772847,2050
84,2462782.986637758,3984148.502019584,2075
85,2462709.457956769,3984552.95707184,2100
86,2462780.172349465,3984833.1036824496,2125
87,2462709.6050060336,3985777.70857716,2150
88,2462861.904820075,3983258.262418068,2175
89,2462802.4282867704,3983434.499335868,2200
90,2462931.153398117,3984331.722667129,2225
91,2462809.246640413,3984656.294470154,2250
92,2462803.871094142,3985065.1411320274,2275
93,2462910.3570156866,3985387.223915214,2300
94,2463125.576722284,3983482.086046123,2325
95,2463004.9996551936,3984120.3931925255,2350
96,2463124.1837078254,3985194.4876653305,2375
97,2463095.523908138,3985499.2142081615,2400
98,2463299.569068317,3983891.5928233233,2425
99,2463372.3274097494,3985425.589394061,2450
100,2463437.520363292,3985378.532660617,2475
101,2463432.825061741,3985809.2691525086,2500
102,2463773.350908592,3985451.7752705943,2525
103,2463892.648793174,3983424.7254345017,2550
