Commande,Maison,Heure,idMaisonReel,Weight
1,1,18:52:25,0,1.2
2,2,13:00:30,32,0.5
3,2,17:00:27,32,1.8
4,2,14:46:55,32,1.4
5,3,16:13:46,64,1.5
6,3,10:23:34,64,1.7
7,3,13:14:35,64,0.3
8,5,20:58:28,128,0.8
9,5,12:07:31,128,0.9
10,6,18:27:41,160,1.9
11,6,10:15:12,160,1.4
12,7,14:52:49,192,0.9
13,7,18:08:33,192,1.1
14,8,12:57:36,224,1.2
15,8,10:11:44,224,0.6
16,8,17:34:07,224,0.6
17,9,18:25:47,256,1.6
18,11,22:44:00,320,0.8
19,11,16:52:55,320,1.5
20,12,14:35:49,352,1.5
21,12,22:27:37,352,0.2
22,12,10:08:44,352,0.8
23,13,19:02:16,384,1.1
24,13,14:47:53,384,1.5
25,13,22:12:13,384,0.4
26,14,10:58:34,416,1.8
27,14,17:07:33,416,2.0
28,14,13:46:50,416,1.4
29,15,09:07:01,448,0.8
30,16,21:05:56,480,2.0
31,18,13:21:12,544,0.4
32,18,10:00:08,544,1.9
33,19,17:39:27,576,0.1
34,23,14:55:25,704,0.9
35,23,03:19:03,704,1.6
36,23,13:52:49,704,2.0
37,24,22:16:44,736,0.2
38,24,12:54:54,736,1.6
39,26,17:00:58,800,0.4
40,27,18:42:04,832,1.6
41,27,22:03:17,832,0.2
42,28,15:46:36,864,0.8
43,28,00:37:13,864,1.9
44,29,09:24:25,896,0.9
45,29,19:10:43,896,1.5
46,29,15:10:16,896,1.6
47,30,13:18:18,928,0.8
48,30,22:15:06,928,1.5
49,32,22:57:25,992,2.0
50,32,08:54:08,992,0.2
51,32,09:48:22,992,0.5
52,33,10:35:47,1024,0.8
53,33,14:03:46,1024,1.4
54,35,20:31:53,1088,0.7
55,36,22:05:55,1120,1.5
56,36,19:39:11,1120,1.5
57,37,16:04:03,1152,2.0
58,38,18:50:19,1184,1.2
59,39,12:23:14,1216,1.8
60,40,17:57:48,1248,0.3
61,40,21:59:11,1248,1.4
62,41,18:13:07,1280,0.6
63,41,09:25:37,1280,0.5
64,42,10:15:29,1312,0.4
65,42,16:25:44,1312,0.2
66,43,11:50:30,1344,1.6
67,43,22:20:39,1344,0.7
68,43,23:45:44,1344,0.7
69,45,07:28:53,1408,1.7
70,45,23:30:21,1408,0.7
71,46,09:00:20,1440,1.8
72,46,22:35:22,1440,0.2
73,46,17:24:52,1440,0.4
74,48,07:55:08,1504,1.4
75,49,13:32:10,1536,0.6
76,49,10:36:42,1536,1.4
77,50,11:18:59,1568,1.4
78,50,16:26:51,1568,1.0
79,53,13:26:47,1664,1.1
80,54,08:59:30,1696,1.9
81,55,01:12:48,1728,2.0
82,56,22:38:45,1760,0.7
83,56,15:26:31,1760,1.9
84,57,10:57:58,1792,1.1
85,58,12:59:01,1824,1.4
86,58,07:52:54,1824,0.4
87,58,09:25:05,1824,1.3
88,60,17:20:49,1888,0.9
89,60,03:47:27,1888,1.5
90,61,10:30:48,1920,1.2
91,61,15:22:56,1920,0.7
92,61,07:40:00,1920,1.8
93,63,17:59:44,1984,1.0
94,63,18:21:13,1984,0.8
95,63,12:42:44,1984,0.2
96,64,09:59:16,2016,0.6
97,64,21:19:32,2016,0.9
98,64,17:58:29,2016,1.0
99,65,14:37:43,2048,1.9
100,65,14:56:38,2048,0.1
101,65,12:07:15,2048,1.2
102,66,12:57:44,2080,0.7
103,66,14:18:24,2080,1.5
104,68,10:55:37,2144,0.7
105,68,18:55:45,2144,1.4
106,68,22:29:56,2144,0.9
107,69,23:51:06,2176,0.7
108,69,18:17:41,2176,1.6
109,69,01:22:40,2176,1.2
110,70,12:39:19,2208,1.2
111,70,14:29:11,2208,1.3
112,70,16:47:02,2208,1.0
113,71,20:37:25,2240,1.4
114,72,14:54:43,2272,1.0
115,72,15:34:23,2272,0.2
116,72,20:54:09,2272,1.1
117,73,11:18:50,2304,1.2
118,73,21:52:28,2304,1.5
119,74,20:19:15,2336,0.5
120,75,09:45:10,2368,0.7
121,75,13:10:11,2368,0.6
122,75,17:11:24,2368,2.0
123,76,22:16:14,2400,1.2
124,76,09:33:41,2400,0.5
125,77,22:15:46,2432,1.8
126,77,14:20:43,2432,0.3
127,77,12:01:35,2432,1.8
128,79,08:47:10,2496,0.6
129,79,15:54:57,2496,0.4
130,80,12:00:35,2528,1.2
131,80,11:06:09,2528,0.2
132,81,18:01:59,2560,0.7
133,81,18:05:52,2560,1.7
