id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459603.526275396,3984079.3747555823,64
3,2459645.994583185,3985549.172346629,128
4,2460034.2129241484,3984042.6190513247,192
5,2460186.9133790964,3985470.279939059,256
6,2460327.545296966,3985449.43265337,320
7,2460495.4895042754,3985552.652497252,384
8,2460740.510220324,3984290.4875134514,448
9,2460948.89838095,3983250.259732581,512
10,2460942.9951937622,3985970.71871977,576
11,2461070.5136773856,3984787.183896284,640
12,2461072.8150031795,3986161.235425857,704
13,2461390.790289833,3984301.9732077727,768
14,2461382.233548945,3985212.538340302,832
15,2461495.541937644,3983561.77454642,896
16,2461471.9767323034,3984627.265726529,960
17,2461568.895834808,3986383.701557568,1024
18,2461786.189088219,3983549.2819479816,1088
19,2461765.276347232,3984132.504834791,1152
20,2461679.9851758727,3984956.549945655,1216
21,2461758.5877453247,3986073.751796448,1280
22,2461870.3399912696,3983622.241602866,1344
23,2461828.9150405866,3984224.469032873,1408
24,2461839.0795402625,3985047.4785351646,1472
25,2461964.3276980747,3986260.426235679,1536
26,2462022.4761176426,3984031.782006577,1600
27,2462032.278349039,3985025.551517132,1664
28,2462332.255433068,3983775.967632599,1728
29,2462366.542117801,3984416.7922633206,1792
30,2462436.31834279,3983145.533506959,1856
31,2462510.9390673377,3984136.140568669,1920
32,2462599.2264399203,3985095.8056218144,1984
33,2462641.39813684,3983695.3785423776,2048
34,2462613.0586322253,3984842.875692536,2112
35,2462932.5211767107,3983386.266406067,2176
36,2462870.59002834,3984573.5880304906,2240
37,2462812.414582357,3985381.630946117,2304
38,2463140.717385743,3984670.997617498,2368
39,2463262.1050217887,3984849.822488539,2432
40,2463419.3836008543,3985681.819283778,2496
41,2464133.3385083857,3983377.227342991,2560
