Commande,Maison,Heure,idMaisonReel,Weight
1,1,16:25:41,0,0.1
2,1,13:48:54,0,0.3
3,3,00:18:03,56,0.7
4,3,08:59:55,56,0.9
5,3,17:07:08,56,0.5
6,5,13:46:52,112,0.4
7,5,14:01:06,112,1.4
8,6,18:29:03,140,0.3
9,6,19:22:57,140,1.7
10,7,16:39:20,168,0.9
11,7,21:05:57,168,0.2
12,7,18:53:20,168,0.4
13,8,10:33:59,196,1.0
14,8,03:39:29,196,0.9
15,8,11:44:50,196,1.5
16,9,20:14:31,224,0.5
17,10,22:42:17,252,1.7
18,10,13:43:27,252,0.5
19,11,12:12:51,280,2.0
20,12,17:56:13,308,0.5
21,12,06:50:58,308,1.6
22,13,16:29:16,336,1.5
23,13,13:52:56,336,1.0
24,13,07:46:26,336,0.7
25,14,20:09:05,364,1.3
26,15,08:22:54,392,1.0
27,15,17:18:21,392,0.6
28,16,09:43:54,420,1.3
29,17,19:52:07,448,1.8
30,18,16:15:57,476,0.4
31,18,18:32:07,476,0.6
32,19,10:08:01,504,0.8
33,19,08:36:14,504,1.6
34,20,08:34:32,532,1.0
35,20,09:42:08,532,2.0
36,21,17:53:10,560,0.3
37,22,13:49:23,588,0.7
38,22,10:22:00,588,1.6
39,24,12:30:58,644,1.2
40,24,16:35:43,644,0.2
41,24,06:45:47,644,1.9
42,25,20:54:11,672,1.3
43,25,23:09:45,672,0.3
44,26,10:10:55,700,0.2
45,26,21:21:58,700,0.5
46,26,15:35:36,700,1.9
47,27,11:21:36,728,1.2
48,27,15:48:50,728,0.2
49,28,06:50:52,756,0.9
50,28,19:46:18,756,1.8
51,29,12:52:20,784,0.8
52,29,09:01:03,784,1.8
53,29,00:31:58,784,0.2
54,30,21:20:17,812,1.8
55,33,19:05:32,896,0.2
56,33,18:47:45,896,1.3
57,34,18:06:37,924,0.5
58,34,21:54:53,924,0.3
59,35,21:19:38,952,1.2
60,35,01:11:02,952,1.3
61,35,09:08:11,952,1.3
62,37,12:05:24,1008,0.3
63,38,19:17:39,1036,1.0
64,39,13:30:07,1064,0.4
65,39,22:22:50,1064,0.3
66,40,14:28:09,1092,0.2
67,40,06:06:32,1092,0.4
68,40,20:37:24,1092,1.3
69,41,12:20:02,1120,0.6
70,41,20:44:07,1120,1.6
71,41,17:05:12,1120,0.1
72,42,08:48:27,1148,1.8
73,42,12:26:07,1148,0.4
74,42,07:51:01,1148,1.3
75,43,16:47:32,1176,1.7
76,44,21:27:58,1204,1.8
77,45,16:51:41,1232,2.0
78,46,08:03:10,1260,1.4
79,46,18:46:00,1260,0.5
80,47,19:48:49,1288,0.5
81,47,21:04:11,1288,1.6
82,47,11:57:41,1288,1.2
83,48,20:35:17,1316,0.2
84,48,05:53:54,1316,1.4
85,48,18:32:07,1316,0.2
86,49,09:45:26,1344,1.6
87,49,21:06:55,1344,1.6
88,49,20:03:04,1344,2.0
89,50,02:51:59,1372,0.8
90,50,14:49:03,1372,1.0
91,53,14:40:25,1456,0.9
92,53,20:32:39,1456,0.5
93,53,00:41:49,1456,1.6
94,56,23:58:23,1540,0.4
95,56,15:09:38,1540,0.2
96,56,08:12:15,1540,0.7
97,57,07:19:27,1568,1.1
98,58,11:42:32,1596,1.9
99,58,20:39:27,1596,0.9
100,61,11:01:27,1680,1.5
101,61,07:06:30,1680,1.2
102,61,14:01:00,1680,0.6
103,62,22:28:46,1708,2.0
104,63,12:27:42,1736,0.7
105,63,22:30:05,1736,0.6
106,63,20:30:27,1736,1.0
107,64,09:40:06,1764,0.9
108,64,21:03:59,1764,1.9
109,65,12:51:50,1792,0.7
110,65,20:56:01,1792,1.5
111,66,18:57:26,1820,1.5
112,67,07:37:54,1848,1.6
113,67,19:46:23,1848,1.3
114,67,14:05:19,1848,1.8
115,68,19:33:45,1876,0.8
116,68,11:28:12,1876,0.7
117,68,12:33:35,1876,1.6
118,69,19:29:04,1904,0.4
119,70,21:05:56,1932,2.0
120,71,20:41:44,1960,0.6
121,73,21:09:06,2016,0.9
122,74,16:45:44,2044,1.3
123,75,11:58:54,2072,0.9
124,77,09:27:11,2128,0.6
125,79,17:11:49,2184,1.1
126,79,00:51:52,2184,1.0
127,80,23:06:31,2212,1.8
128,80,13:12:29,2212,0.9
129,81,13:44:50,2240,0.6
130,81,20:54:57,2240,1.2
131,81,18:44:05,2240,1.4
132,83,11:48:42,2296,0.2
133,83,11:25:51,2296,0.6
134,84,19:52:44,2324,0.3
135,85,17:57:25,2352,0.7
136,85,19:33:09,2352,0.5
137,86,21:34:13,2380,1.9
138,90,16:02:40,2492,1.1
139,90,19:56:04,2492,1.7
140,91,13:16:25,2520,0.9
141,91,12:36:50,2520,0.6
142,92,16:42:54,2548,2.0
143,92,18:04:50,2548,1.5
