id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459411.15352194,3985446.614562405,36
3,2459638.3919739616,3984366.01125208,72
4,2459681.2773462594,3985089.791294942,108
5,2459930.9182048384,3983477.459181502,144
6,2459831.255582927,3984724.2848307537,180
7,2460190.139182546,3984410.8952364814,216
8,2460040.83419878,3985326.975234039,252
9,2460252.56254606,3984736.87444574,288
10,2460253.8377940743,3985726.685065063,324
11,2460405.169768589,3984468.2385653695,360
12,2460561.2464219034,3985616.890220154,396
13,2460642.7289662957,3983829.601932993,432
14,2460752.078864766,3984765.432359829,468
15,2460973.2158356234,3982995.605331625,504
16,2460837.903647356,3983830.45952618,540
17,2460942.9951937622,3985970.71871977,576
18,2461168.480647132,3983312.0571330334,612
19,2461082.7313025137,3984685.456373685,648
20,2461161.949102787,3985559.7082831296,684
21,2461244.4753697664,3983246.619989231,720
22,2461377.0570535664,3983919.6316830274,756
23,2461308.3563772053,3984679.840150456,792
24,2461261.060616605,3985299.0591820655,828
25,2461273.9157015923,3986117.5729845534,864
26,2461532.841686256,3983648.416882129,900
27,2461570.9581543626,3984321.7844461226,936
28,2461556.618841394,3984888.5867545335,972
29,2461457.7102527665,3985924.2556033344,1008
30,2461629.971999262,3983060.68846228,1044
31,2461609.8075535097,3983491.603812716,1080
32,2461788.0275152056,3983924.635133224,1116
33,2461765.276347232,3984132.504834791,1152
34,2461740.8724132017,3984424.614432256,1188
35,2461669.232685654,3985159.5711743142,1224
36,2461771.307582916,3985545.9679471166,1260
37,2461603.421341236,3986223.22973637,1296
38,2461957.137785716,3983631.531855337,1332
39,2461922.458294353,3983821.65255118,1368
40,2461973.18386038,3984323.965939129,1404
41,2461993.993127486,3984786.7849195306,1440
42,2461925.080140284,3985018.2605425664,1476
43,2461845.441450158,3985664.590858097,1512
44,2462124.155294767,3983046.6592480927,1548
45,2462055.9924000613,3983698.919058552,1584
46,2462043.6190314675,3984271.706962725,1620
47,2462023.921432432,3985030.013479108,1656
48,2462249.323444742,3983081.226978468,1692
49,2462332.255433068,3983775.967632599,1728
50,2462312.038714031,3984364.009022812,1764
51,2462391.141264354,3984599.72888414,1800
52,2462276.975862014,3986027.649796008,1836
53,2462511.784798364,3983592.3272510553,1872
54,2462553.9685315243,3983871.636582542,1908
55,2462424.5285026464,3984331.985298936,1944
56,2462468.104488617,3984966.684517599,1980
57,2462770.4386376697,3983224.604371451,2016
58,2462631.0080539747,3983791.4772832766,2052
59,2462706.3493465683,3984292.623227236,2088
60,2462774.561887101,3984811.325074774,2124
61,2462678.835413926,3985718.767979583,2160
62,2462910.834317788,3983443.129946245,2196
63,2462890.1023011743,3984375.351071011,2232
64,2462889.123825596,3984914.539824625,2268
65,2462812.414582357,3985381.630946117,2304
66,2463175.666845198,3983697.749237068,2340
67,2463125.5846326263,3985116.198662006,2376
68,2463067.5223339577,3985690.37070448,2412
69,2463323.753061686,3985458.606668055,2448
70,2463552.912274916,3985482.460781328,2484
71,2463771.3065833705,3983862.6169019775,2520
72,2464079.279981416,3983240.111463016,2556
