id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459558.2953742878,3985312.982587994,32
3,2459603.526275396,3984079.3747555823,64
4,2459626.1020774287,3985060.89554388,96
5,2459645.994583185,3985549.172346629,128
6,2459856.201139164,3984322.176181968,160
7,2460034.2129241484,3984042.6190513247,192
8,2460127.806181784,3984741.74652795,224
9,2460186.9133790964,3985470.279939059,256
10,2460252.56254606,3984736.87444574,288
11,2460327.545296966,3985449.43265337,320
12,2460503.6429485525,3984040.027375608,352
13,2460495.4895042754,3985552.652497252,384
14,2460618.353128537,3982848.4538411153,416
15,2460740.510220324,3984290.4875134514,448
16,2460779.666511412,3985637.303459032,480
17,2460948.89838095,3983250.259732581,512
18,2460932.3855445287,3983933.837352198,544
19,2460942.9951937622,3985970.71871977,576
20,2461039.200189373,3983255.082749185,608
21,2461070.5136773856,3984787.183896284,640
22,2461008.861423416,3985364.6900813114,672
23,2461072.8150031795,3986161.235425857,704
24,2461300.444227444,3983437.43652344,736
25,2461390.790289833,3984301.9732077727,768
26,2461232.531252813,3984871.673383868,800
27,2461382.233548945,3985212.538340302,832
28,2461273.9157015923,3986117.5729845534,864
29,2461495.541937644,3983561.77454642,896
30,2461501.8879522383,3984009.693985337,928
31,2461471.9767323034,3984627.265726529,960
32,2461411.378772201,3985593.413241572,992
33,2461568.895834808,3986383.701557568,1024
34,2461726.978785018,3983161.6417117342,1056
35,2461786.189088219,3983549.2819479816,1088
36,2461696.1013762592,3983839.5614204495,1120
37,2461765.276347232,3984132.504834791,1152
38,2461744.8664703225,3984526.919197719,1184
39,2461679.9851758727,3984956.549945655,1216
40,2461719.0418059686,3985269.8726620832,1248
41,2461758.5877453247,3986073.751796448,1280
42,2461975.877143624,3983327.0040169214,1312
43,2461870.3399912696,3983622.241602866,1344
44,2461999.1215447458,3983995.304903587,1376
45,2461828.9150405866,3984224.469032873,1408
46,2461993.993127486,3984786.7849195306,1440
47,2461839.0795402625,3985047.4785351646,1472
48,2461983.9765003207,3985433.823813716,1504
49,2461964.3276980747,3986260.426235679,1536
50,2462016.485087732,3983559.006250923,1568
51,2462022.4761176426,3984031.782006577,1600
52,2462194.2324386016,3984212.976989607,1632
53,2462032.278349039,3985025.551517132,1664
54,2462326.8812400806,3983372.5020005433,1696
55,2462332.255433068,3983775.967632599,1728
56,2462364.764541115,3984114.455546964,1760
57,2462366.542117801,3984416.7922633206,1792
58,2462267.1126964474,3985163.403971863,1824
59,2462436.31834279,3983145.533506959,1856
60,2462508.4492782704,3983622.236819221,1888
61,2462510.9390673377,3984136.140568669,1920
62,2462427.7933682287,3984466.274692996,1952
63,2462599.2264399203,3985095.8056218144,1984
64,2462770.4386376697,3983224.604371451,2016
65,2462641.39813684,3983695.3785423776,2048
66,2462672.325418575,3984344.63209196,2080
67,2462613.0586322253,3984842.875692536,2112
68,2462677.293473596,3985563.412855895,2144
69,2462932.5211767107,3983386.266406067,2176
70,2462897.9944467754,3983746.2159365537,2208
71,2462870.59002834,3984573.5880304906,2240
72,2462940.055507892,3985197.633262973,2272
73,2462812.414582357,3985381.630946117,2304
74,2463089.9607712114,3983567.426673345,2336
75,2463140.717385743,3984670.997617498,2368
76,2463095.523908138,3985499.2142081615,2400
77,2463262.1050217887,3984849.822488539,2432
78,2463503.297180146,3984105.070233763,2464
79,2463419.3836008543,3985681.819283778,2496
80,2463703.376232569,3985769.020264882,2528
81,2464133.3385083857,3983377.227342991,2560
