Commande,Heure,idMaison,Weight
0,11:37:09,1390,10
1,13:22:14,1195,62
2,11:19:12,1522,38
3,16:47:31,875,55
4,22:51:10,1239,20
5,16:33:15,1644,46
6,13:03:26,2374,13
7,17:35:00,1768,25
8,10:32:38,874,83
9,19:07:35,1739,27
10,23:01:28,523,65
11,19:20:17,1454,71
12,11:52:40,1997,19
13,14:16:03,751,54
14,21:32:26,526,39
15,09:29:16,914,21
16,13:46:29,1082,61
17,19:24:38,2064,89
18,12:28:32,2425,84
19,21:52:01,350,12
20,17:14:53,1053,53
21,11:50:01,1748,36
22,18:42:45,2162,28
23,15:01:39,1169,63
24,18:19:47,1282,72
25,15:11:17,2238,84
26,18:27:20,1957,97
27,17:43:00,1216,56
28,18:58:44,1219,64
29,21:18:51,1895,91
30,17:04:43,66,63
31,12:28:58,1389,21
32,18:42:22,1170,47
33,15:33:37,1819,34
34,12:51:08,2344,36
35,11:43:06,2429,24
36,14:49:52,736,93
37,17:58:10,1969,22
38,14:32:09,815,36
39,13:46:52,1459,87
40,20:11:19,1565,78
41,18:57:00,1746,95
42,20:58:26,976,19
43,11:00:38,4,28
44,08:32:36,2457,85
45,11:30:44,150,77
46,01:07:37,2067,57
47,20:44:17,2335,70
48,17:24:47,794,45
49,09:14:06,1892,38
50,16:53:37,994,54
51,16:42:48,1898,97
52,14:44:31,2112,88
53,22:42:04,642,70
54,10:49:28,1285,34
55,21:30:08,1830,78
56,21:25:57,1298,59
57,22:25:09,500,34
58,20:03:09,260,65
59,16:54:49,2359,29
60,10:53:08,112,87
61,19:30:17,536,72
62,19:39:04,1816,76
63,20:45:56,199,12
64,16:52:17,1112,76
65,14:51:13,1613,92
66,18:31:08,172,93
67,13:28:06,2378,72
68,22:53:00,1697,14
69,15:46:50,486,32
70,15:10:59,496,86
71,15:53:12,2202,97
72,12:16:19,878,95
73,16:50:17,1036,51
74,15:12:58,84,29
75,10:36:52,24,43
76,21:26:47,1226,24
77,18:40:25,476,91
78,10:03:25,392,88
79,09:25:27,2454,17
80,22:55:45,2325,76
81,11:11:29,2525,74
82,16:35:52,1825,99
83,20:26:56,188,41
84,23:43:49,2409,19
85,10:57:29,2051,81
86,17:04:05,2147,82
87,18:03:56,691,44
88,10:12:01,137,67
89,14:52:51,1314,18
90,12:16:39,1007,20
91,23:10:54,2214,48
92,21:49:36,1127,41
93,10:10:42,762,86
94,10:38:06,739,83
95,10:14:30,2000,41
96,09:24:26,1909,66
97,08:30:49,2161,18
98,18:11:17,1301,34
99,09:42:55,2456,72
100,23:54:45,1128,77
101,11:41:38,2026,17
102,22:41:08,627,31
103,18:26:46,525,46
104,19:45:12,1161,50
105,15:27:52,891,72
106,20:50:54,2025,28
107,16:46:38,180,51
108,16:48:22,2370,41
109,09:43:15,507,15
110,18:13:22,315,61
111,22:40:49,755,52
112,13:58:51,2562,65
113,18:27:37,858,30
114,17:10:25,534,13
115,14:23:42,939,65
116,21:10:10,2037,89
117,13:44:46,844,93
118,08:25:23,740,90
119,16:37:44,1426,43
120,06:35:19,425,54
121,16:21:51,514,36
122,20:48:33,200,32
123,23:07:00,2130,65
124,15:15:32,2546,48
125,22:32:52,2181,59
126,17:54:10,1097,100
127,11:13:46,675,83
128,14:03:08,2364,15
129,17:23:27,337,11
130,10:35:26,2445,29
131,14:18:20,2068,90
132,20:45:37,329,93
133,08:23:39,1946,76
134,20:09:04,54,11
135,16:57:29,2159,83
136,20:45:02,1974,79
137,17:27:22,1212,19
138,18:33:46,419,35
139,14:58:54,1129,72
140,07:00:57,1426,77
141,10:46:11,2046,40
142,09:58:14,1411,84
143,15:41:10,1839,46
144,14:13:30,2150,55
145,07:55:24,2428,93
146,20:03:09,1863,10
147,16:59:03,963,82
148,13:58:13,1626,30
149,15:01:14,144,93
150,15:23:03,2002,45
151,12:31:11,2566,15
152,19:04:37,1815,26
153,10:20:36,2238,70
154,06:29:30,1347,99
155,13:16:35,365,98
156,13:44:52,1029,34
157,19:01:03,1433,82
158,08:22:26,886,81
159,18:04:45,223,21
160,15:39:15,1256,87
161,18:16:33,2475,37
162,10:29:12,634,10
163,15:28:46,766,49
164,20:17:19,1152,74
165,18:15:46,1843,75
166,15:08:38,1756,87
167,06:28:09,325,26
168,17:44:00,2418,14
169,11:10:10,2303,69
170,14:32:37,1776,43
171,19:33:46,1830,40
172,14:10:14,2126,85
173,18:28:46,1219,31
174,17:06:47,1293,31
175,16:41:49,701,52
176,11:13:51,1103,56
177,09:50:38,213,96
178,20:39:56,2544,96
179,18:04:58,288,23
180,15:52:36,2151,46
181,10:20:01,715,84
182,01:50:26,1663,68
183,08:25:16,885,82
184,22:01:45,2552,16
185,08:58:39,2559,43
186,11:19:59,174,85
187,18:26:33,680,17
188,08:19:12,1155,12
189,15:02:30,629,81
190,10:52:48,2481,62
191,17:48:35,1768,19
192,10:44:02,831,50
193,17:25:07,58,13
194,09:47:29,1943,70
195,20:05:48,1715,57
196,16:38:48,164,100
197,11:59:15,873,45
198,01:14:27,1526,82
199,22:18:12,1067,70
