data;

param nb_p := 57;
param nb_d := 10;
param nb_h := 31;
param autonomy_max := 1764;
param recharge_time := 3;

param delivery_time := 1 194
2 181
3 150
4 198
5 115
6 90
7 124
8 141
9 140
10 13
11 201
12 35
13 212
14 83
15 67
16 213
17 80
18 103
19 228
20 114
21 169
22 121
23 169
24 144
25 187
26 194
27 198
28 245
29 235
30 261
31 328;

param orders := 1 1
2 1
3 1
4 2
5 2
6 2
7 3
8 3
9 4
10 4
11 5
12 5
13 6
14 6
15 7
16 8
17 8
18 10
19 10
20 10
21 11
22 11
23 11
24 12
25 12
26 12
27 14
28 14
29 15
30 15
31 16
32 17
33 17
34 19
35 19
36 19
37 20
38 20
39 21
40 21
41 21
42 23
43 23
44 24
45 24
46 24
47 25
48 25
49 26
50 27
51 28
52 28
53 28
54 29
55 29
56 29
57 31;

end;
