data;

param nb_p := 92;
param nb_d := 20;
param nb_h := 62;
param autonomy_max := 1764;
param recharge_time := 3;

param delivery_time := 1 194
2 247
3 199
4 241
5 158
6 129
7 188
8 116
9 112
10 148
11 112
12 76
13 151
14 30
15 215
16 48
17 133
18 254
19 43
20 46
21 143
22 121
23 53
24 70
25 198
26 154
27 112
28 62
29 50
30 107
31 164
32 165
33 105
34 89
35 109
36 130
37 181
38 166
39 101
40 107
41 252
42 139
43 128
44 127
45 197
46 150
47 146
48 163
49 218
50 169
51 177
52 214
53 211
54 185
55 210
56 258
57 214
58 261
59 253
60 305
61 302
62 350;

param orders := 1 1
2 2
3 3
4 3
5 4
6 4
7 5
8 6
9 6
10 6
11 7
12 8
13 8
14 9
15 9
16 9
17 10
18 10
19 10
20 11
21 12
22 12
23 12
24 13
25 13
26 13
27 14
28 16
29 16
30 16
31 19
32 19
33 23
34 24
35 24
36 24
37 25
38 25
39 26
40 27
41 28
42 28
43 30
44 30
45 31
46 31
47 32
48 34
49 34
50 36
51 37
52 37
53 40
54 41
55 41
56 41
57 43
58 43
59 44
60 45
61 45
62 47
63 47
64 47
65 48
66 48
67 49
68 49
69 50
70 50
71 51
72 51
73 51
74 52
75 52
76 52
77 53
78 53
79 54
80 54
81 54
82 55
83 55
84 55
85 56
86 58
87 58
88 59
89 59
90 61
91 61
92 61;

end;
